American Ethnic Studies,American Indian Studies,Anthropology,Applied and Computational Mathematical Sciences,Art History,Asian Studies,Astronomy,Biochemistry,Biology,Chemistry ,Chinese,Classical Studies,Classics,Communication,Comparative History of Ideas,Comparative Literature,Comparative Religion,Composition (Music),Computer Science,Dance,Danish,Drama,Economics,English,Ethnomusicology,European Studies,Finnish,French,"Gender, Women, and Sexuality Studies",Geography,Germanics,Greek,Guitar,History,History and Philosophy of Science,Individualized Studies,Industrial Design,Integrated Social Sciences,Interaction Design,Interdisciplinary Visual Arts,International Studies,Italian,Japanese,Jazz Studies,Jewish Studies,Korean,Latin,Latin American and Caribbean Studies,"Law, Societies, and Justice",Linguistics ,Mathematics,Microbiology,Music,Music Education,Near Eastern Languages and Civilization,Neurobiology,Norwegian,Orchestral Instruments,Organ (Music),Painting and Drawing,Percussion,Philosophy ,Photomedia,Physics,Piano,Political Science,Psychology,Scandinavian Studies,Slavic Languages and Literatures,Social Science (Evening Degree),Sociology,South Asian Languages and Literature (Hindi and Sanscrit),Spanish ,Speech and Hearing Sciences,Statistics,Swedish,Three Dimensional Forum,Visual Communication Design,Voice (Music),Architectural Design,Architecture,"Community, Environment, and Planning",Construction Management,Landscape Architecture,Early Childhood and Family Studies,"Education, Communities, and Organizations",Aeronautics and Astronautics ,Bioengineering,Chemical Engineering,Civial  and Environmental Engineering,Computer Engineering,Electrical Engineering,Human Centered Design and Engineering,Industrial Engineering,Materials Science and Engineering,Mechanical Engineering,Aquatic and Fishery Sciences,Atmospheric Sciences,Bioresouce Science and Engineering,Earth and Space Sciences,Environmental Science and Terrestrial Resouce Management,Environmental Studies,Oceanography,Informatics,Business Administration,Nursing,Medical Laboratory Science,Environmental Health,Health Informatics and Health Information Management,Public Health ,Social Welfare
,,,CSE 142;2.0,,,PHYS 121;2.5,Chem 142;2.0,BIOL 180;2.0,Chem 142;2.0,,,,COM 201;2.5,,C LIT 250,,MUSIC 302,Math 124,Dance 166,,DRAMA 201,Econ 200;2.5,Engl 202;2.0,,,,,,,,,,,,,Design 166;3.7,ISS 301,Design 166;3.7,Art 190,Econ 200,,,Music 160,,,,,LSJ  320,Ling 200,Math 124;2.0,BIOL 180,MUSIC 316,MUSIC 201;2.0,,BIOL 180;2.0,,MUSIC 201;2.0,,ART 190,MUSIC 113,PHIL 115,,,MUSIC 113,POL S 101,MATH 111;2.0,,,,,,,BIOL 118,MATH 124;2.5,,,DESIGN 166;3.7,MUSIC 113,ARCH 350,ARCH 200;2.0,CEP 200,M E 123,L ARCH 300,;2.0,,MATH 124;2.0,MATH 124,MATH 124;2.0,MATH 124;2.0,MATH 124;2.0,MATH 124,MATH 120,MATH 124,MATH 124;2.0,MATH 124;2.0,,,CHEM 142,,,,,INFO 200;2.0,ACCTG 215,CHEM 120,BIOL 118,CHEM 142;2.0,STAT 221;2.0,ENV H 111;2.5,SOC WF 101;2.0
,,,CSE 143;2.0,,,PHYS 122;2.5,Chem 152;2.0,BIOL 200;2.0,Chem 152;2.0,,,,COM 202;2.5,,C LIT 251,,MUSIC 305,Math 125,,,DRAMA 251,Econ 201;2.5,,,,,,,,,,,,,,,ISS 302,,,Jsis 201,,,Music 161,,,,,LSJ 321,,Math 125;2.0,BIOL 200,MUSIC 317,MUSIC 202;2.0,,BIOL 200;2.0,,MUSIC 202;2.0,,,MUSIC 119,PHIL 120,,,MUSIC 119,POL S 201,PSYCH 101;2.0,,,,,,,PHYS 107,MATH 125;2.5,,,,MUSIC 119,ARCH 351,ARCH 231;2.0,,ACCTG 215,L ARCH 352,,,MATH 125;2.0,MATH 125,MATH 125;2.0,MATH 125;2.0,MATH 125;2.0,MATH 125,STAT 220,MATH 125,MATH 125;2.0,MATH 125;2.0,,,CHEM 152,,,,,CSE 142;2.0,ECON 200,CHEM 220,BIOL 180,CHEM 152;2.0,BIOL 118;2.0,BIOL 118;2.5,SOC WF 200;2.0
,,,Math 124;2.0,,,PHYS 123;2.5,Chem 162;2.0,BIOL 220;2.0,Chem 162;2.0,,,,,,C CLIT 252,,MUHST 212,Math 126,,,DRAMA 210,Stat 311;2.5,,,,,,,,,,,,,,,,,,,,,,,,,,LSJ 200,,Math 126;2.0,BIOL 220 ,,,,BIOL 220;2.0,,,,,MUSIC 120,,,,MUSIC 120,POL S 202,PSYCH 202;2.0,,,,,,,STAT 220,MATH 126;2.5,,,,MUSIC 120,,ARCH 350;2.0,,ACCTG 225,L ARCH 353,,,MATH 126;2.0,MATH 126,MATH 126;2.0,MATH 126;2.0,MATH 126;2.0,MATH 126,BIOL 118,MATH 126,MATH 126;2.0,MATH 126;2.0,,,ENGL 131,,,,,STAT 221;2.0,MATH 112,CHEM 221,BIOL 200,CHEM 162;2.0,BIOL 119;2.0,ENGL 131;2.5,SOC WF 201;2.0
,,,Math 125;2.0,,,,Chem 237;2.0,,Chem 237;2.0,,,,,,,,MUSIC 216,Phys 121,,,DRAMA 290,Math 112;2.0,,,,,,,,,,,,,,,,,,,,,,,,,,LSJ 367,,,CHEM 142,,,,,,,,,,,,,,,PSYCH 209;2.0,,,,,,,,STAT 311;2.5,,,,,,ARCH 351;2.0,,MGMT 200,ESS 315,,,MATH 307;2.0,CHEM 142,MATH 307;2.0,PHYS 121;2.0,PHYS 121;2.0,PHYS 121,CHEM 142,PHYS 121,MATH 307;2.0,PHYS 121;2.0,,,MATH 124,,,,,ENGL 131;2.0,ENGL 131,BIOL 118,BIOL 220,CHEM 237;2.0,CLAS 205;2.0,,
,,,Math 126;2.0,,,,Chem 238;2.0,,Chem 238;2.0,,,,,,,,MUSIC 217,CSE 142,,,,Engl 131;2.0,,,,,,,,,,,,,,,,,,,,,,,,,,LSJ 375,,,CHEM 152,,,,,,,,,,,,,,,,,,,,,,,CSE 142;2.5,,,,,,ARCH 352;2.0,,CEE 291,,,,MATH 308;2.0,CHEM 152,CHEM 142;2.0,CHEM 142;2.0,CSE 142;2.0,PHYS 122,ENGL 111,PHYS 122,PHYS 121;2.0,PHYS 122;2.0,,,MATH 125,,,,,,MGMT 200,BIOL 119,CHEM 142,CHEM 238;2.0,,,
,,,Math 307;2.0,,,,BIOL 180;2.0,,Math 124;2.0,,,,,,,,MUSIC 218,CSE 143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENGL 131,,,CHEM 162,,,,,,,,,,,,,,,,,,,,,,,STAT 302;2.5,,,,,,,,CM 250,,,,MATH 324;2.0,CHEM 162,CHEM 152;2.0,ENGL 111;2.0,CSE 143;2.0,CHEM 142,CSE 142,PHYS 123,PHYS 122;2.0,CHEM 142;2.0,,,MATH 126,,,,,,QMETH 201,B STR 301,CHEM 152,CHEM 239;2.0,,,
,,,,,,,BIOL 200;2.0,,Math 125;2.0,,,,,,,,,ENGL 131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEM 223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHYS 114,,,,PHYS 121;2.0,CHEM 223,CHEM 162;2.0,,ENGL 111;2.0,ENGL 111,,CHEM 142,CHEM 142;2.0,CHEM 152;2.0,,,CHEM 237,,,,,,,MICROM 301,CHEM 162,MATH 124;2.0,,,
,,,,,,,Math 124;2.0,,Math 126;2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHYS 117,,,,PHYS 122;2.0,PHYS 121,PHYS 121;2.0,,,,,CHEM 152,CHEM 152;2.0,A A 210;2.0,,,CHEM 238,,,,,,,MICROM 302,CHEM 223,BIOL 180;2.0,,,
,,,,,,,Math 125;2.0,,Phys 121;2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHYS 115,,,,PHYS 123;2.0,PHYS 122,PHYS 122;2.0,,,,,ENGL 111,CSE 142;2.0,CEE 220;2.0,,,,,,,,,,NUTR 300,CHEM 224,BIOL 200;2.0,,,
