American Ethnic Studies,American Indian Studies,Anthropology,Applied and Computational Mathematical Sciences,Art History,Asian Studies,Astronomy,Biochemistry,Biology,Candian Studies,Chemistry ,Chinese,Classical Studies,Classics,Communication,Comparative History of Ideas,Comparative Literature,Comparative Religion,Composition (Music),Computer Science,Dance,Danish,Drama,Economics,English,Ethnomusicology,European Studies,Finnish,French,"Gender, Women, and Sexuality Studies",Geography,Germanics,Greek,Guitar,History,History and Philosophy of Science,Individualized Studies,Industrial Design,Integrated Social Sciences,Interaction Design,Interdisciplinary Visual Arts,International Studies,Italian,Japanese,Jazz Studies,Jewish Studies,Korean,Latin,Latin American and Caribbean Studies,"Law, Societies, and Justice",Linguistics ,Mathematics,Microbiology,Music,Music Education,Near Eastern Languages and Civilization,Neurobiology,Norwegian,Orchestral Instruments,Organ (Music),Painting and Drawing,Percussion,Philosophy ,Photomedia,Physics,Piano,Political Science,Psychology,Scandinavian Studies,Slavic Languages and Literatures,Social Science (Evening Degree),Sociology,South Asian Languages and Literature (Hindi and Sanscrit),Spanish ,Speech and Hearing Sciences,Statistics,Swedish,Three Dimensional Forum,Visual Communication Design,Voice (Music),Architectural Design,Architecture,"Community, Environment, and Planning",Construction Management,Landscape Architecture,Early Childhood and Family Studies,"Education, Communities, and Organizations",Aeronautics and Astronautics ,Bioengineering,Chemical Engineering,Civil  and Environmental Engineering,Computer Engineering,Electrical Engineering,Human Centered Design and Engineering,Industrial Engineering,Materials Science and Engineering,Mechanical Engineering,Aquatic and Fishery Sciences,Atmospheric Sciences,Bioresouce Science and Engineering,Earth and Space Sciences,Environmental Science and Terrestrial Resouce Management,Environmental Studies,Oceanography,Informatics,Business Administration,Medical Laboratory Science,Nursing,Environmental Health,Health Informatics and Health Information Management,Public Health ,Social Welfare
,,,Minimum cumulative GPA of 2.5,Minimum cumulative GPA of 2.5,,,Minimum cumulative GPA of 2.5,Matriculated student in good academic standing at UW Seattle.,,"Factors in the admission decision include academic performance as measured by GPA in courses required for application, difficulty of other courses completed, frequency of incompletes or withdrawal grades, number of repeated courses, relevant work and life experience, and record of honors.",,,,Minimum 15 COM credits,,Minimum cumulative GPA of 2.5,,Audition Required,,Minimum cumulative GPA of 2.5,,,Minimum cumulative GPA of 2.5,Minimum cumulative GPA of 2.00,,,,,,,,,Minimum cumulative GPA of 2.5,Minimum college/university GPA of 2.00,,Identify the unifying interdisciplinary theme of the program.,,Minimum 75 transferable quarter credits,,Minimum cumulative GPA of 3.0,,,,Audition required,,Minimum 20 credits of college coursework (or department-approved equivalent) in the intended primary language of concentration.,,Minimum cumulative GPA of 2.5,Minimum cumulative GPA of 2.5,"Completion of at least the third quarter, or equivalent, of a foreign language, with a minimum 2.0 grade",Minimum cumulative GPA of 2.5,Minimum 75 credits applicable to graduation, Minimum cumulative GPA of 2.5,Audition required,,"Completion of most supporting coursework in physics, math, and chemistry recommended (see specific course lists, below), with minimum 2.50 GPA in any such work completed at time of application",,Audition required,Minimum cumulative GPA of 2.5,,Minimum cumulative GPA of 2.5,Minimum 2.00 cumulative GPA,Minimum cumulative GPA of 3.0,Minimum cumulative GPA of 2.5,Minimum cumulative GPA of 2.5,Minimum 2.00 cumulative GPA,Minimum cumulative GPA of 2.0,,,Minimum cumulative GPA of 2.5,,Minimum 20 credits of college coursework (or department-approved equivalent) in the intended primary language of concentration.,,Bachelor’s degree or advanced degree outside the area of speech and hearing sciences,Minimum cumulative GPA of 3.0,,,Minimum cumulative GPA of 3.0,Minimum cumulative GPA of 2.5,Minimum cumulative GPA of 2.5,Minimum cumulative GPA of 2.5,Minimum 90 credits completed when student begins the program and at least 80 percent of general education requirements fulfilled,,Minimum cumulative GPA of 2.5,Minimum cumulative GPA of 2.5,Satisfactory progress toward completion of general education requirements,Minimum cumulative GPA of 2.5,Minimum cumulative GPA of 2.5,Minimum cumulative GPA of 2.5,Admission is for autumn quarter only. Departmental application deadline is July 1.,,Minimum cumulative GPA of 2.5,Minimum cumulative GPA of 2.0,Minimum cumulative GPA of 2.5,Minimum cumulative GPA of 2.5,Minimum cumulative GPA of 2.5,,,,,,,,Minimum 2.00 cumulative college GPA.,Minimum cumulative GPA of 2.5,,Minimum cumulative GPA of 2.00,Minimum cumulative GPA of 2.5,Minimum cumulative GPA of 2.5,Minimum cumulative GPA of 2.5,Minimum 30 credits completed
,,,,,,,,"Minimum 2.50 cumulative GPA for any supporting chemistry, physics, mathematics, and biology courses (or other courses that may apply to major requirements) completed at time of application.",,Recommended minimum cumulative GPA of 2.50/2.0 in course requirements with no individual grade lower than a 2.0/1.7 for B.S./B.A.,,,,"Minimum 2.50 cumulative GPA for all college coursework, including transfer credits",,Completion of one course fulfilling either College of Arts and Sciences English composition requirement or the W (writing) requirement (5 credits),,"portfolio of recent compositions, scores, and recordings",,Successful completion of 5 credits in any of the required core courses for the major.,,,,Minimum English GPA of 2.50,,,,,,,,,,Completion of 10 credits of college history with a minimum cumulative GPA of 2.50,,"Make a list of courses taken or planned to be taken toward this goal. This list should comprise between 50 and 70 quarter credits, all of which are related to the area of concentration. These courses must come from at least two departments, but may come from any number of areas, so long as interrelationships are discernible. Most courses must be at the 300- or 400-level. At least half the 50-70 credits selected for the major must come from courses taught within the College of Arts and Sciences.",,Minimum 2.00 GPA in all transferable college coursework,,,,,,Minimum cumulative GPA of 3.0,,Completion of one writing course (W-prefix) taught in English with a minimum 2.0 grade.,,,,"Completion of either LING 200, LING 400, or an approved introductory linguistics course; at least one writing (W) course; and one additional quantitative and symbolic reasoning (QSR) course. Minimum 2.0 grade in each course and a cumulative 2.50 GPA in the three courses",,"Completion of the following prerequisite courses with a minimum 2.25 cumulative GPA : BIOL 180, BIOL 200, BIOL 220; CHEM 142, CHEM 152, CHEM 162; CHEM 223 or CHEM 237.",,Minimum cumulative GPA of 2.5,,Minimum cumulative GPA of 2.5,,Minimum cumulative GPA of 2.5,,,,completion of 10 credits of philosophy coursework,,,,Three introductory political science courses (15 credits),,,,75 college quarter credits,,Completion of one writing course (W-prefix) taught in English with a minimum 2.0 grade.,,Statement of purpose,,,,,,,,Minimum 2.50 cumulative GPA,,,,Two-to-three page personal statement reflecting an interest in the early childhood and family studies major and a commitment to learning about the field,,,,Applicants must be currently enrolled at the UW and must have a minimum 15 credits taken in residence at the UW.,,,,,,,,,,,,,,Positive overall academic performance,,,Three or four of the total prerequisite science courses completed with a minimum 3.00 or 2.80 GPA respectively,,,,"Completion of or enrollment in at least one of five prerequisite courses, three or more of which must be completed prior to beginning the program degree requirements in autumn of the junior year."
,,,,,,,,Personal statement,,Minimum cumulative GPA of 2.5,,,,Essay explaining what led applicants to apply to the major,,,,statement of purpose,,Successful completion of or registration in at least one technique course.,,,,,,,,,,,,,,Completion of 10 credits of composition/writing courses with a minimum 2.0 grade for each course.,,"Draft a statement that describes the proposed major and discusses the interrelationships among the courses chosen. Propose a brief, descriptive title for the major.",,Minimum 2.50 GPA in all courses applied to ISS major requirements,,,,,,,,The department prefers that prospective majors present a cumulative 2.50 GPA.,,,,,,Minimum cumulative GPA of 2.50,,,,,,,,,,,,,,,,,,,,"The department prefers that prospective majors present a cumulative 2.50 GPA. Students with a cumulative GPA below 2.50 may be considered for the major if they submit materials in addition to transcripts, clarifying any aspect of past coursework. Denied applicants may appeal.",,All college-level transcripts,,,,,,,,written essay,,,,Overall academic performance reflected in copies of unofficial transcripts,,,,Minimum 2.0 grade in each course required for admission,,,,,,,,,,,,,,Positive grades in courses required for admission to the major,,,College transcript(s),,,,Minimum 3.00 cumulative GPA
,,,,,,,,Minimum cumulative GPA of 2.5,,,,,,,,,,additionally an audition,,,,,,,,,,,,,,,,,,Submit the proposal to the Individualized Studies Committee for initial approval. Prospective majors should submit proposals to the Individualized Studies Committee for review at least three quarters prior to graduation.,,Completion in high school or community college of College Academic Distribution Requirement (CADR).,,,,,,,,Transfer students must be enrolled at the UW before applying to the major.,,,,,,,,,,,,,,,,,,,,,,,,,,Transfer students must be enrolled at the UW before applying to the major.,,Three letters of recommendation sent to the department.,,,,,,,,demonstration of relevant extracurricular activities,,,,"Other evidence of interest in and commitment to the field (e.g., work experience, volunteer experience, or internships)",,,,minimum 2.50 cumulative GPA for all courses required for admission,,,,,,,,,,,,,,Personal statement reflecting an interest in and commitment to becoming a major in this field,,,Personal statement,,,,Fifty community service/student leadership hours in college and high school
,,,,,,,,,,,,,,,,,,Minimum cumulative GPA of 2.5,,,,,,,,,,,,,,,,,,Identify at least two faculty sponsors for the major. The faculty sponsors attest to the intellectual soundness of the proposal and agree to provide whatever guidance is jointly decided upon. They may also suggest changes in the previously approved written proposal or list of courses.,,Demonstrated progress toward University and College of Arts and Sciences general education requirements,,,,,,,,Minimum cumulative GPA of 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,Minimum cumulative GPA of 2.0,,Minimum cumulative GPA of 2.5,,,,,,,,Interview,,,,Grades in any completed recommended courses and courses applied to major requirements,,,,,,,,,,,,,,,,,,"Other evidence of interest in and commitment to the field (e.g., work experience, internships).",,,"100 hours of health care experience in a paid or volunteer position in one setting for three months or more, completed within 12 months preceding submission of the application",,,,Admission essay
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Obtain final approval from an Individualized Studies adviser.,,Minimum cumulative GPA of 2.5,,,,,,,,"The most recent course completed in the intended primary language of concentration must be taken through the UW, with a minimum 2.5",,,,,,,,,,,,,,,,,,,,,,,,,,"The most recent course completed in the intended primary language of concentration must be taken through the UW, with a minimum 2.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"After an initial review of all applications, some are asked to attend a proctored essay session.",,,,One letter of recommendation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transfer students must be enrolled at the UW before applying to the major.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Courses in psychology, sociology, economics/political science, and human biology must all be completed prior to beginning required SOC WF courses"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Minimum cumulative GPA of 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"An introductory statistics class may be taken as late as spring quarter of the junior year, but is a required prerequisite of senior-year courses and is recommended prior to admission."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Resume
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,personal disclosure statement
